"tsearch","eentry"
"ตะปบ","pounce on"
"กล่อมท้อง","soothe the tension of delivery by rubbing gently the belly"
"กล่อมมดลูก","massage with hot compress"
"ตะบัน","pound"
"ตอบสนอง","meet"
"ต่อนัดต่อแนง","have words with"
"ตะกาย","clamber"
"ต่อเนื่อง","continue"
"ตอบสนอง","respond"
"ต่อปากต่อคำ","have words with"
"ต่อปากหลากคำ","have words with"
"ตอม","swarm"
"ตั้ง","establish"
"ตระกอง","embrace"
"ตระเตรียม","prepare"
"ตระบัด","embezzle"
"ตระบัดสัตย์","reverse one's promise"
"ตระหนกตกใจ","alarm"
"กลัด","clasp"
"กลัดกลุ้ม","be worried"
"กลัดมัน","have strong sexual desire"
"ต่างกัน","differ"
"ตราสิน","register"
"ตราตรึง","impress"
"กลั่น","sift"
"กลั่น","distill"
"ตรำ","drudge"
"ตริ","think"
"ตริตรอง","reflect"
"ตอบสนอง","respond"
"ตราสัง","shroud"
"ตรัส","say"
"ตระหนัก","realize"
"ตระหนักแน่","realize"
"ตระหน่ำ","hit"
"ตรัง","stick"
"ตรับฟัง","listen"
"ตรัสรู้","enlighten"
"ตรา","stamp"
"ตรา","note"
"ตรากฎหมาย","enact"
"ตรากตรำ","endure"
"ติดกัน","stick together"
"ติดกับ","trap"
"ติดเก้ง","(fucking dogs) get stuck"
"ติดขอ","hook"
"ติดคอ","be stick"
"ติดคุก","imprison"
"ติดต่อสื่อสาร","communicate"
"ติดงาน","be busy"
"ติดใจ","doubt"
"ติดตลก","humor"
"ติดตลาด","hold a market"
"ติดต่อ","connect"
"ติดเครื่อง","start up the motor"
"ติฉินนินทา","blame"
"ติดกัณฑ์เทศน์","offer money to a Buddhist monk who give a sermon"
"ติดกระดุม","button up"
"ติชม","criticize"
"ติด","hang"
"ติด","stick"
"ติด","get stuck"
"ติด","catch"
"ติด","addicted to"
"ติด","close"
"ติดตะกร้อ","play Thai ball game balancing on one's knee or arm"
"ติ","condemn"
"ติดแร้ว","be trapped in a snare"
"ติดโรค","contact a disease"
"ติดไฟ","light a fire"
"กลั้น","restrain"
"ติดบ่อน","open a gambling house"
"ติดตั้ง","install"
"ติดตัว","have something with one"
"ติดตา","graft"
"ติดตา","impress"
"ติดตาม","pay attention"
"ติดตาม","follow"
"ติดตาม","trail"
"ติดตื้น","be stuck in the shallow area of the river cannot go by boat"
"ติดร่างแห","get involve"
"ติดธุระ","be busy"
"ติดมือ","take something long with someone"
"ติดบอร์ด","be on the board"
"ติดบุหรี่","be addicted to smoke"
"ติดปาก","accustom to"
"ติดป้าย","label"
"ติดปีก","escape"
"ติดผม","stick to the hair"
"ติดฝน","catch in the rain"
"ติดฝิ่น","be addicted to opium"
"ตัวสั่น","tremble"
"ติดธง","decorate with flags"
"ตราหน้า","denounce"
"ตระหนี่","be greedy"
"ตระหนี่ตัว","reserve"
"ตรัสรู้","become enlightened"
"ตราหน้า","brand"
"ตระหง่าน","be eminent"
"ตรึก","waste"
"ตรึก","think"
"ตรึง","bind"
"ตรึง","transfix"
"ตลก","fun"
"ตลอดรอดฝั่ง","tide"
"ต่อโทรศัพท์","call up"
"ต่อตา","graft"
"ต่อต้าน","resist"
"ต่อตาม","haggle"
"ต่อตี","fight with"
"ต่อเติม","add"
"ตระหนก","alarm"
"ต่อท้าย","attach"
"ตอน","castrate"
"ตระการตา","charm"
"ตระเวน","patrol"
"ตระเวน","roam"
"ต้อน","be cornered"
"ต่องแต่ง","sway to and fro"
"ต้องสงสัย","suspect"
"ตอด","reproach"
"ตอด","nibble"
"ต่อตัว","do a pyramid of acrobat"
"ต้อน","herd"
"ต่อนัดต่อแนง","have words with"
"ตอน","castrate"
"ต่อ","build"
"ต้องธรณีสาร","fall into vice"
"ต่อ","teach"
"ต่อ","transfer"
"ต่อ","decoy"
"ต่อ","renew"
"ต่อ","concede"
"ต่อ","renew"
"ต่อ","bargain"
"ต้วมเตี้ยม","toddle"
"ต่อ","join"
"ตลบหลัง","betray"
"ตลบ","pervade"
"ตลบ","cast"
"ตลบนก","cast over a bird"
"ตลบอบอวล","spread"
"ตรึกตรอง","reflect"
"ตรึงใจ","impress"
"ตรึงตรา","fascinate"
"ตรึงราคา","peg the  price"
"ตอก","hammer"
"ตอกย้ำ","emphasize"
"ต่อกร","fight"
"ตอกหน้า","refute"
"ต่อกิ่ง","graft"
"ต่อความยาวสาวความยืด","bring up a side issue to complicate the matter"
"ต้อง","touch"
"ต้อง","fall into"
"ต้องการ","require"
"ต้องคดี","accuse"
"ต้องใจ","satisfy"
"ต้องตา","please the eye"
"ต้องโทษ","punish"
"ตวาด","yell"
"ตวัด","whip"
"ตวง","measure"
"ต้องประสงค์","want"
"ติดสอยห้อยตาม","follow"
"ติดสัด","rut"
"ติดสำนวน","use idiomatic expression"
"ติดสินบน","bribe"
"ติดสุรา","be alcoholic"
"ติดหูติดตา","remember"
"ติดเหล้า","alcoholic"
"ติดแห้ง","to be stuck in the low tide area, cannot row the boat"
"ติดอกติดใจ","be fascinated"
"ติดอันดับ","be ranked"
"ติดอาวุธ","arm"
"ติดแอร์","air-condition"
"ติติง","reproach"
"ติเตียน","blame"
"ตี","hit"
"ตี","value"
"ตี","whip"
"ตี","record"
"ตี","bang"
"ตี","forge"
"ตี","batter"
"ตี่","open up"
"ตีกรรเชียง","row with oars"
"ตีกรรเชียง","backstroke"
"ตีกรับ","beat a Thai wooden rhythm instrument"
"ตีกิน","take advantage immorally"
"ตีเกล็ด","make tuck"
"ตีเกล็ด","make louver-boards"
"ตีเกลียว","twist (a rope)"
"ตีไก่","let a cock fight"
"ตีขนาบ","make a pincers movement"
"ตีขลุม","assume"
"ตีความ","interpret"
"ตีคอ","cajole"
"ตีคู่","adjoin"
"ตีจาก","leave"
"ตีฉิ่ง","be Lesbian"
"ตีฉิ่ง","play cymbals"
"ตีชิง","snatch"
"ตีตรวน","shackle"
"ตีตรา","seal"
"ตีตั๋ว","buy a ticket"
"ตีแตะ","?น่าจะใช้คำใน Teng ได้"
"ตีโต้","counterattack"
"ตีทอง","beat gold into sheets"
"ตีทะเบียน","register"
"ตีท้ายครัว","intrigue"
"กลั่นกรอง","screen"
"ตีนถีบปากกัด","fight tooth and nail"
"ตีบแคบ","narrow"
"ตีบตัน","be constricted"
"ตีบรรทัด","rule"
"ตีป่า","hit wildly"
"ตีปีก","flap wings"
"ตีปีก","crow"
"ตีแปลง","wallow (in mud)"
"ตีผึ้ง","drive bees out of the nest"
"ตีผึ้ง","kind of game in the northeast of Thailand"
"ตีแผ่","give sth/sb away"
"ตีฝีปาก","equivocate"
"ตีพิมพ์","publish"
"ตีมอง","catch fish with a net or seine"
"ตีเมือง","attack (a city or country)"
"ตีรั้ง","similar"
"ตีรันฟันแทง","fight"
"ตีราคา","appraise"
"ตีลังกา","turn a somersault"
"ตีวง","encircle"
"ตีสนิท","befriend"
"ตีสาย","send a telegram"
"ตีสำนวน","speak eloquently"
"ตีเส้น","rule"
"ตีเสมอ","presume to act as an equal"
"ตีเสียง","raise one's voice to the superiors when angry"
"ตีเสียว่า","assume"
"ตีหน้า","pretend"
"ตีหน้าตาย","assume or make a deadpan face"
"ตีหน้ายักษ์","express anger on one's face"
"ตีห่าง","act estrange"
"ตีอวน","trawl"
"ตึง","be strict"
"ตึง","be in an angry mood"
"ตึงเครียด","be tense"
"ตืด","be stingy"
"ตื่น","be alert"
"ตื่น","wake up"
"ตื่นกลัว","be panic-stricken"
"ตื่นข่าว","become excited (about some news)"
"ตื่นขึ้น","wake up"
"ตื้นเขิน","be shallow"
"ตื่นตกใจ","be frightened"
"ตื่นตระหนก","be alarmed"
"ตื้นตัน","be delighted"
"ตื้นตันใจ","be delighted"
"ตื่นตัว","be awakened to"
"ตื่นตา","be excited"
"ตื่นตาตื่นใจ","be excited by seeing some spectacular things"
"ตื่นตูม","be panic-stricken"
"ตื่นเต้น","be excited"
"ตื่นนอน","wake up"
"ตื้อ","be dull"
"ตื๊อ","pester"
"ตุกติก","be tricky"
"ตุง","bulge (out)"
"ตุ้งติ้ง","be girlish"
"ตุน","store"
"ตุ๋น","steam"
"ตุ๋น","swindle"
"ตุนาหงัน","be betrothed to"
"ตุ่ย","bulge"
"ตุ๊ย","punch"
"ตุหรัดตุเหร่","roam"
"ตู่","claim ownership without justification"
"ตู่ตัว","mistake"
"ตูบ","droop"
"ตู่พุทธพจน์","refer mistakenly the Buddha's teaching"
"เต่ง","be ripe"
"เต่งตึง","be elevated and firm"
"เต้น","dance"
"เต้น","beat"
"เต้นกินรำกิน","make a living as a performer or dancer"
"เต้นเขน","perform the Thai drama from the Ramayana by wearing mark and dancing"
"เต้นระบำ","dance"
"เต้นรำ","dance"
"เต้นแร้งเต้นกา","dance with joy"
"เต็ม","full"
"เต็ม","be full"
"เต็มใจ","be willing to"
"เต็มดวง","be full"
"เต็มตื้น","be glad"
"เต็มเต็ง","be normal"
"เต็มบาท","be normal"
"เต็มบ้านเต็มเมือง","can be found everywhere"
"เต็มเปี่ยม","be full of"
"เต็มไปด้วย","be full of"
"เต็มมือ","be all over one's hand"
"เต็มอกเต็มใจ","be willing to"
"เตร่","stroll"
"เตร็ดเตร่","stroll"
"เตรียมตรม","be grieved"
"เตรียมตัว","prepare"
"เตรียมพร้อม","be ready"
"เตลิด","run wild"
"เตลิดเปิดเปิง","flee in all directions"
"เตะ","kick"
"เต๊ะ","put on airs"
"เตะจมูก","be appetizing"
"เตะฉาก","kick and withdraw"
"เตะโด่ง","kick someone upstairs"
"เตะตา","be eye-catching"
"เตะฝุ่น","be jobless"
"เตาะแตะ","play for small stakes with little capital"
"เตาะแตะ","toddle"
"เติมต่อ","add"
"เตียนโล่ง","be flat"
"เตือน","remind"
"เตือน","warn"
"เตือนใจ","remind"
"เตือนตา","be attractive"
"เตือนสติ","warn"
"แตก","split"
"แตก","sprout"
"แตก","break"
"แตก","sweat"
"แตกกัน","break"
"แตกแขนง","put out twig"
"แตกคอ","splinter"
"แตกเงิน","change (small money)"
"แตกฉาน","be proficient in"
"แตกฉาน","be scattered"
"แตกฉานซ่านเซ็น","be separated"
"แตกดับ","die"
"แตกตัว","split"
"แตกตา","put forth scion"
"แตกต่าง","be different"
"แตกตื่น","stampede"
"แตกแตน","be broken into pieces"
"แตกทัพ","be defeated in the war"
"แตกใบ","put forth leaves"
"แตกปลี","put forth its spadix"
"แตกฝูง","be separated from the herd"
"แตกพาน","become pubescent"
"แตกมัน","float up during boiling"
"แตกแยก","split up"
"แตกร้าว","split up"
"แตกสลาย","be broken"
"แตกสามัคคี","be disunited"
"แตกหัก","be decisive"
"แตกหัก","be broken into pieces"
"แต่ง","decorate"
"แต่ง","compose"
"แต่งกาย","dress"
"แต่งคำ","write words"
"แต่งโคลง","compose a poem"
"แต่งงาน","marry"
"แต่งตั้ง","appoint"
"แต่งตัว","dress"
"แต่งเนื้อแต่งตัว","dress"
"แต่งเพลง","compose a song"
"แต่งเรื่อง","invent a story"
"แต่งเล็บ","dress a fingernail"
"แต่งหนังสือ","write a book"
"แต่งหน้า","make up"
"แต่งหน้าทาปาก","make up"
"แต้มสี","paint"
"แตะ","touch"
"แตะต้อง","touch"
"โต","be big"
"โต","grow up"
"โต้","buffet"
"โต้คารม","argue"
"โต้ตอบ","reply"
"โต้ตอบ","counter"
"โต้เถียง","argue"
"โต้แย้ง","argue"
"ไต่","crawl"
"ไต่","climb"
"ไต่เขา","hike"
"ไต่เต้า","make one's way up"
"ไต่ถาม","ask"
"ไต่ไม้","climb"
"ไตร่ตรอง","think over"
"ไต่ลวด","walk on the tightrope"
"ไต่สวน","inquire"
"ถก","pull out"
"ถก","roll up"
"ถก","discuss"
"ถกเขมร","pull up one's the panung"
"ถกเถียง","dispute"
"ถกล","build"
"ถกล","ิbe beautiful"
"ถงัน","jump forwards"
"ถงาด","crane the neck"
"ถด","move backwards"
"ถดถอย","deteriorate"
"ถดถอย","be discouraged"
"ถนอม","preserve"
"ถนอมอาหาร","preserve (food)"
"ถนัด","be expert in/at"
"ถนัดขวา","be right-handed"
"ถนัดใจ","feel at ease"
"ถนัดซ้าย","be left-handed"
"ถม","fill"
"ถ่ม","spit"
"ถ่มน้ำลาย","spit"
"ถมึงทึง","be fierce"
"ถลก","roll up"
"ถลน","protrude"
"ถล่ม","bombard"
"ถล่ม","fall down"
"ถล่มทลาย","collapse"
"ถลอก","scratch"
"ถลัน","dash"
"ถลา","rush"
"ถลำใจ","fall into love"
"ถลำตัว","blunder"
"ถลำถลาก","be careless"
"ถลีถลำ","be rash"
"ถลึงตา","stare"
"ถลุง","squander"
"ถลุง","hit"
"ถลุง","smelt"
"ถ่วง","load"
"ถ่วง","make something sink in the water"
"ถ่วง","retard"
"ถ่วงดุล","balance"
"ถ่วงล้อ","balance a wheel"
"ถ่วงเวลา","delay"
"ถวัลย์","reign"
"ถวาย","offer"
"ถวายกร","salute a prince in Thai style"
"ถวายตัว","give oneself"
"ถวายบังคม","pay homage"
"ถวายพระเพลิง","cremate"
"ถวิล","yearn"
"ถวิลหา","yearn"
"ถ่อ","punt"
"ถ่อ","drag"
"ถอง","drink"
"ถอง","nudge"
"ถอด","take off"
"ถอด","copy"
"ถอดความ","paraphrase"
"ถอดถอน","relieve"
"ถอดถ่าย","transliterate"
"ถอดทิ้ง","take off and throw away"
"ถอดเทป","transcribe"
"ถอดแบบ","reproduce"
"ถอดไพ่","arrange cards in sets by using some criteria"
"ถอดรหัส","decrypt"
"ถอดรูป","strip the mask off"
"ถอดสี","look pale"
"ถอน","withdraw"
"ถอน","draw"
"ถอน","pull out"
"ถอนกำลัง","withdraw"
"ถอนขน","pluck"
"ถอนเงิน","withdraw money"
"ถอนใจใหญ่","have a deep sigh"
"ถอนตัว","withdraw"
"ถอนทุน","gain"
"ถอนพิษ","detoxify"
"ถอนยวง","destroy"
"ถอนราก","eradicate"
"ถอนรากถอนโคน","extirpate"
"ถอนสมอ","weigh an anchor"
"ถอนสายบัว","curtsy"
"ถอนหายใจ","sigh"
"ถ่อม","lower"
"ถ่อมตัว","humble"
"ถอย","decrease"
"ถอย","retreat"
"ถ่อย","be mean"
"ถอยกรูด","move back"
"ถอยกลับ","retreat"
"ถอยฉะ","retreat and fight"
"ถอยฉาก","withdraw"
"ถอยถด","decrease"
"ถอยทัพ","retreat"
"ถ้อยทีถ้อยอาศัย","mutually depend on each other"
"ถอยร่น","retreat"
"ถอยหลัง","lag behind"
"ถอยหลัง","go backwards"
"ถอยหลังเข้าคลอง","be retrogressive"
"ถัก","knit"
"ถัด","move forward"
"ถัว","average"
"ถัวเฉลี่ย","average"
"ถา","swoop down"
"ถาก","hoe"
"ถาก","graze"
"ถาก","bark"
"ถากถาง","lampoon"
"ถาง","mow"
"ถ่าง","widen"
"ถ่างตา","dilate the eyes"
"ถางหญ้า","remove grass"
"ถาม","ask"
"ถามข่าว","ask (about/after)"
"ถามไถ่","ask (about/after)"
"ถามหา","ask"
"ถ่าย","transfer"
"ถ่าย","excrete"
"ถ่าย","take a picture"
"ถ่ายทอด","broadcast"
"ถ่ายทอด","teach"
"ถ่ายทำ","shoot"
"ถ่ายทุกข์","ีurinate"
"ถ่ายทุกข์","excrete"
"ถ่ายเท","ventilate"
"ถ่ายเท","unload"
"ถ่ายแบบ","copy"
"ถ่ายปัสสาวะ","urinate"
"ถ่ายภาพ","take photographs"
"ถ่ายภาพยนตร์","make movie"
"ถ่ายยา","purge"
"ถ่ายรูป","photograph"
"ถ่ายเลือด","transfuse blood"
"ถ่ายหนัง","shoot"
"ถ่ายอุจจาระ","defecate"
"ถ่ายเอกสาร","copy"
"ถ่ายโอน","transfer"
"ถาวร","be permanent"
"ถี่ถ้วน","be careful"
"ถีบ","shove away"
"ถีบกระดาน","propel a plank on mud bank"
"ถีบจักร","pedal a sewing machine"
"ถีบจักรยาน","pedal a bicycle"
"ถีบสามล้อ","pedal a tricycle"
"ถีบหัวส่ง","expel"
"ถึง","reach"
"ถึงกัน","communicate with"
"ถึงกำหนด","due"
"ถึงแก่กรรม","dead"
"ถึงแก่พิราลัย","pass away"
"ถึงแก่มรณภาพ","pass away"
"ถึงแก่อนิจกรรม","pass away"
"ถึงแก่อสัญกรรม","pass away"
"ถึงคราว","meet one's doom"
"ถึงฆาต","be doomed to die"
"ถึงใจ","satisfy (a craving)"
"ถึงชีพิตักษัย","pass away"
"ถึงชีวิตันตราย","pass away"
"ถึงที่","be doomed to die"
"ถึงผ้า","menstruate"
"ถือ","hold"
"ถือ","believe in"
"ถือกำเนิด","born"
"ถือโกรธ","resent"
"ถือเขาถือเรา","discriminate"
"ถือเคร่ง","respect"
"ถือเงิน","keep money"
"ถือใจ","be convinced"
"ถือดี","be overconfident"
"ถือตาม","follow"
"ถือท้าย","be at the helm"
"ถือท้าย","support"
"ถือโทษ","take offence"
"ถือน้ำ","drink the water of allegiance"
"ถือน้ำพระพิพัฒน์สัตยา","drink an oath of allegiance"
"ถือบวช","become a Buddhist monk"
"ถือบวช","observe religious precepts"
"ถือบังเหียน","govern"
"ถือปูน","mortar"
"ถือเป็น","regard"
"ถือพล","command troops"
"ถือยศ","be pompous"
"ถือว่า","be regarded as"
"ถือศาสนา","believe in"
"ถือศีล","observe religious precepts/rite"
"ถือสา","mind"
"ถือสิทธิ์","take the liberty of"
"ถือหาง","back"
"ถือเอา","assume"
"ถือโอกาส","take the opportunity"
"ถุน","take a nip of drug or opium"
"ถุย","spit"
"ถู","scrub"
"ถูก","touch"
"ถูก","be cheap"
"ถูกกัน","be compatible"
"ถูกขา","match well"
"ถูกคอ","get along well with"
"ถูกคู่","be partners of something"
"ถูกจำ","imprison"
"ถูกใจ","like"
"ถูกโฉลก","get along well with"
"ถูกชะตา","hit it off"
"ถูกต้อง","be correct"
"ถูกต้องตามกฎหมาย","be legal"
"ถูกปรับ","be fined"
"ถูกปาก","be tasty"
"ถูกเส้น","click"
"ถูกหวย","win the prize in lottery"
"ถูกอกถูกใจ","content"
"ถูไถ","get by on"
"ถูไถ","scrape"
"ถูฟัน","brush one's teeth"
"เถลไถล","wander"
"เถลิก","roll up"
"เถลิงศก","begin the new era"
"เถิก","go bald"
"เถือ","cut"
"แถก","shave"
"แถมพก","give a premium"
"โถงเถง","lamely tall"
"โถบ","swoop down"
"โถม","rush"
"ไถ่","redeem"
"ไถ่","ask"
"ไถกลบ","plough up and over"
"ไถดะ","plough roughly for the first time"
"ไถ่ตัว","ransom"
"ไถ่ถอน","redeem"
"ไถ่ถาม","ask"
"ไถ่บาป","redeem"
"ไถแปร","plough in regular furrows for the second time"
"ทแกล้ว","be brave"
"ทด","carry (a number)"
"ทดแทน","compensate"
"ทดน้ำ","irrigate"
"ทดรอง","advance money"
"ทดลอง","test"
"ทดเลข","carry (a number)"
"ทดสอบ","test"
"ทดสอบ","test"
"ทน","be durable"
"ทน","endure"
"ท้น","overflow"
"ทนทาน","endure"
"ทนทุกข์","suffer"
"ทนทุกข์ทรมาน","suffer"
"ทบ","fold"
"ทบทวน","repeat"
"ทบทวน","reconsider"
"ทยอย","follow one after another"
"ทแยง","be slanted"
"ทรง","keep one's balance"
"ทรง","have"
"ทรง","sustain"
"ทรงกลด","be encircled by a halo"
"ทรงกับทรุด","remain unchanged"
"จู่","rush to"
"จูง","lead"
"จูงจมูก","lead someone by the nose"
"จูงใจ","persuade"
"จู้จี้","grumble"
"จู๋จี๋","affectionate chat or whisper"
"จู่โจม","attack"
"จูบ","kiss"
"เจ๊ง","be ruined"
"เจ๊ง","fail"
"เจตนา","intend"
"เจน","to be skilled at"
"เจนจบ","expert"
"เจนจัด","to be skillful"
"เจนใจ","remember"
"เจนตา","familiar to the sight"
"เจ็บ","hurt"
"เจ็บ","be pained"
"เจ็บ","be sick"
"เจ็บไข้","ill"
"เจ็บไข้ได้ป่วย","be ill"
"เจ็บแค้น","rankle"
"เจ็บใจ","to be indignant"
"เจ็บช้ำ","feel hurt"
"เจ็บช้ำน้ำใจ","suffer"
"เจ็บตัว","hurt oneself"
"เจ็บท้อง","be in labour"
"เจ็บปวด","pain"
"เจ็บปวดรวดร้าว","be in anguish"
"เจ็บป่วย","be sick"
"เจ็บร้อน","be indignant"
"เจ็บร้าว","be in anguish"
"เจ็บร้าว","be painful"
"เจรจา","negotiate"
"เจริญ","recite a prayer"
"เจริญ","prosper"
"เจริญก้าวหน้า","progress"
"เจริญงอกงาม","grow"
"เจริญใจ","be pleased"
"เจริญตา","be pleasant to the eyes"
"เจริญตาเจริญใจ","to be pleasing"
"เจริญเติบโต","grow up"
"เจริญพันธุ์","be fertile"
"เจริญรอย","follow"
"เจริญรอย","follow"
"เจริญวัย","grow up"
"เจริญอาหาร","have a good appetite"
"เจอ","meet"
"เจ่อ","swell"
"เจ๋อ","poke one's nose into other affair"
"เจอกัน","meet"
"เจอะ","meet"
"เจ๊า","discontinue"
"เจ้ากี้เจ้าการ","be busy"
"เจ้าคารม","be controversialist"
"เจ้าชู้","flirt"
"เจ้ายศ","be ceremonious"
"เจ้าระเบียบ","be methodical"
"เจ้าระเบียบ","be strict"
"เจาะ","pierce"
"เจาะจง","specify"
"เจาะยาง","puncture a tire"
"โจษจัน","rumor"
"ใจกล้า","be brave"
"ใจกว้าง","be generous"
"ใจแข็ง","have a hard heart"
"ใจแคบ","be narrow-minded"
"ใจแคบ","be selfish"
"ใจง่าย","be credulous"
"ใจจดใจจ่อ","concentrate"
"ใจจืด","be indifferent"
"ใจจืดใจดำ","be unsympathetic"
"ใจชื้น","feel relieved"
"ใจดำ","be black-hearted"
"ใจดี","be kind"
"ใจเด็ด","be resolute"
"ใจเดียว","be faithful"
"ใจเดียวกัน","be congenial with someone"
"ใจต่ำ","be mean"
"ใจเต้น","be excited"
"ใจเติบ","be too broad-minded"
"ใจแตก","be spoiled"
"ใจโต","be too broad-minded"
"ใจถึง","be brave"
"ใจทราม","have an evil heart"
"ใจน้อย","be touchy"
"ใจบาป","have wicked intentions"
"ใจบุญ","have kind heart"
"ใจเบา","be easily influenced"
"ใจป้ำ","be brave"
"ใจแป้ว","be downcast"
"ใจฝ่อ","be disheartened"
"ใจมา","be encouraged"
"ใจไม่ดี","be anxious"
"ใจไม้ไส้ระกำ","be unfeeling"
"ใจเย็น","be steady and calm"
"ใจร้อน","be hot-tempered"
"ใจร้าย","be wicked"
"ใจเร็ว","be quick-tempered"
"ใจลอย","be absent-minded"
"ใจสั่น","shake"
"ใจสูง","be high-minded"
"ใจเสาะ","be faint-hearted"
"ใจเสีย","be frightened"
"ใจหนักแน่น","be constant"
"ใจหวิว","feel dizzy"
"ใจหาย","be stunned with fear"
"ใจหายวาบ","be badly frightened"
"ใจเหี่ยวแห้ง","be dismayed"
"ใจอ่อน","give in"
"ฉก","strike"
"ฉก","snatch"
"ฉกจวัก","raise the head with hood spread and attack"
"ฉ่ำ","be luscious"
"ฉกฉวย","snatch (away)"
"ฉกฉวย","seize"
"ฉกชิง","snatch"
"ฉกชิง","snatch"
"ฉลอง","celebrate"
"ฉลอง","replace"
"ฉลุ","perforate"
"ฉลุลาย","perform perforated framework"
"ฉวย","snatch"
"ฉวัดเฉวียน","circle"
"ฉ้อ","defraud"
"ฉ้อโกง","defraud"
"ฉ้อฉล","defraud"
"ฉ้อราษฎร์บังหลวง","corrupt"
"ฉอเลาะ","wheedle"
"ฉะ","slash"
"ฉะ","quarrel"
"ฉะฉาน","be clear"
"ฉะอ้อน","implore"
"ฉาบ","glaze"
"ฉาบปูน","white-wash"
"ฉาย","shine"
"ฉาย","project"
"ฉายไฟ","shine"
"ฉาวโฉ่","be notorious"
"ฉ่ำ","be wet"
"ฉิบหาย","ruin"
"ฉีก","rip"
"ฉีก","be torn"
"ฉีกหน้า","humiliate"
"ฉีด","inject"
"ฉีดยา","inject"
"ฉุ","be bloated"
"ฉุกคิด","realize suddenly"
"ฉุกใจ","realize suddenly"
"ฉุกละหุก","confuse"
"ฉุด","pull"
"ฉุด","abduct"
"ฉุด","hold back"
"ฉุดกระชาก","drag"
"ฉุดคร่า","abduct"
"ฉุดลาก","pull"
"ฉุน","be pungent"
"ฉุน","get angry"
"ฉุนกึก","be pungent"
"ฉุนกึก","be angry suddenly"
"ท้อถ้อย","argue"
"ทอผ้า","weave"
"ทอนเงิน","give the change"
"ท้อแท้","tired"
"ท้อถอย","discourage"
"ทอดอาลัย","despair"
"ทอดแห","throw a net"
"ทอดหญ้า","feed animal with grass"
"ทอดเสียง","say with softened voice sounding sweet"
"ทอดเสียง","drawl"
"ทอดสายตา","cast a look"
"ทอดสะพาน","encourage"
"ทอดสมอ","cast anchor"
"ทอดรวง","head out"
"ทอน","slash"
"ทรมานทรกรรม","torture"
"ทะแม่ง","be strange"
"ทะมัดทะแมง","be earnest"
"ทะนุบำรุง","nourish"
"ทะนุบำรุง","preserve"
"ทอย","pitch"
"ทะนงศักดิ์","be proud"
"ทะนงตัว","be proud"
"ทะนง","be proud"
"ทอหูก","interweave"
"ทอแสง","shine"
"ทะนุถนอม","cherish"
"ทอดยอด","sprout"
"ทอด","cast"
"ท่องจำ","memorize"
"ท่องบ่น","recite"
"ท่องเที่ยว","tour"
"ทะยาทะแยแส","be generous"
"ทอดพระเนตร","look at (of Royalty)"
"ทอดผ้าป่า","make and off-season offering of robes and other needs to monks"
"ทอดที่","make the royal bed"
"ทอดทิ้ง","neglect"
"ท้องแห้ง","starve"
"ท้องผูก","be constipated"
"ท้องร่วง","have diarrhea"
"ทอดโกลน","lay down rollers"
"ทันใจ","be fast"
"ทันคน","be quick-witted"
"ทัน","catch up with"
"ทัน","overtake"
"ทัดทาน","prohibit"
"ทัด","wear"
"ทัดเทียม","equal"
"ทะลึ่ง","intrude"
"ทะเล้น","be cheeky"
"ทะเล้น","bulge"
"ทะลุดทะลาด","be hurried"
"ทะลุกลางปล้อง","cut in"
"ทะลึ่งทะลั่ง","rush"
"ทะลึ่ง","be insolent"
"ทะลักทะแลง","be irregular"
"ทะลัก","gush out"
"ทะลวง","pierce"
"ทะลวง","break through"
"ทะร่อทะแร่","interfere"
"ทะเยอทะยาน","be ambitious"
"ทะยานอยาก","be grasping"
"ทะยานใจ","be foolhardy"
"ทะยาน","rush"
"ทะลุ","pierce through"
"ท้องเสีย","have diarrhea"
"ทักนิมิต","ask and answer in binding the boundary of a temple"
"ทักทายปราศรัย","greet"
"ทักทาย","greet"
"ทักท้วง","protest"
"ทัก","greet"
"ทัก","warn"
"ทะเลาะวิวาท","brawl"
"ทะเลาะเบาะแว้ง","brawl"
"ทะเลาะ","quarrel"
"ทรงเครื่อง","cut the hair"
"ทราบฝ่าละอองธุลีพระบาท","know"
"ท้องเดิน","have diarrhea"
"ทรงเจ้าเข้าผี","sorcerer's dance to exorcise evil spirits"
"ทรุดนั่ง","sink into a chair"
"ทะลาย","be ruined"
"ทรุด","sink"
"ทรุดตัว","subside"
"ทราบฝ่าพระบาท","know"
"ทรงเจ้า","to be incarcerated with spirits"
"ท่วมหัว","overflow the head"
"ท่วมท้น","overwhelm"
"ท้วม","be plump"
"ท่วม","flood"
"ทวนสาบาน","break the vow"
"ทวนสบถ","break the curse"
"ทราบเกล้าทราบกระหม่อม","know"
"ทรงเครื่อง","be decorated"
"ทะลาย","destroy"
"ท้วมๆ","be plump"
"ทรุดโทรม","be declined"
"ทรอึง","to be conceited"
"ทรหวล","blown away"
"ทวนทบ","review"
"ทรงสติ","be conscious"
"ทรหด","tolerate"
"ทรสองทรสุม","assemble"
"ทวนคำ","repeat one's word"
"ทวงสิทธิ","claim"
"ทรยศ","betray"
"ทวง","demand"
"ทวงถาม","press the claim"
"ทวน","review"
"ทวน","proceed against"
"ทรงตัว","balance"
"ทรงอิทธิพล","be influential"
"ทรงเกียรติ","honour"
"ทราบ","know"
"ทระนง","to be arrogant"
"ท้วง","object"
